station,x,y
선학,929127.7,1936746.5
성균관대,953210,1922490
성복,962800.7,1923900.4
성수,960785.3,1949556.2
성신여대입구,957346.4,1954941.4
성환,966763.1,1879807.6
세류,956868.1,1916261.4
세마,959470.4,1909922.4
세종대왕,1006273.9,1921653.9
센트럴파크,923424.3,1932994
소래포구,932166.1,1933811.7
소사,937679.2,1942843.9
소요산,961431.9,1994313.9
송내,933940.2,1943420.6
송도,925174.9,1937113.6
송산,963631.1,1970927.3
송정,939196.7,1951548.2
송탄,960382.4,1897564.2
송파,965691.5,1944603.5
수내,965853.3,1931112.2
수락산,960792.7,1964326
수리산,949117.6,1928052.5
수색,946580.9,1953651.7
수서,964770.5,1943187.3
수원,955661.5,1918663.4
수원시청,958470.8,1918191.8
수유,958123.3,1959914.2
수지구청,964101.5,1924920.8
수진,968216.7,1937664.7
숙대입구,953358.3,1949587.8
숭실대입구,951704.5,1944256.1
숭의,923771.6,1940542.6
시민공원,927540.6,1940227.5
시청,953807.7,1951876.1
시청용인대,971505.4,1915662.7
신갈,965539.3,1920879.9
신금호,957628.5,1950676.9
신길,948378.1,1946629.8
신길온천,935072.9,1926766.7
신내,964985.7,1957131.2
신논현,958013.1,1945144.5
신답,959979.2,1952391.2
신당,957568.7,1951917
신대방,948131.8,1943295.2
신대방삼거리,949459.4,1944647.3
신도림,946234.4,1945681.4
신둔도예촌,991604.4,1924074.1
신림,949552.5,1942924.9
신목동,945499.3,1949619.7
신반포,955471.2,1945039.2
신방화,939704.5,1952236.5
신사,957580.9,1946443
신설동,957982.8,1952970.8
신연수,928686.7,1935718.6
신용산,952960.4,1947891.9
신원,988794.7,1947349.6
신이문,961821.1,1955960.5
신정,943241.6,1947514.3
신정네거리,942855.4,1946847.8
신중동,935991.8,1945117.7
신창,951098.5,1863670.6
신천,963471.3,1945885.6
경의_신촌,950781.2,1951309.3
신촌,950322.9,1950809.9
신포,922590.8,1941381.1
신풍,947840.8,1944701.8
신흥,968805.8,1938028.7
쌍문,958938.9,1961091.1
쌍용,966221.3,1866242
아산,964717.4,1866069.5
아시아드경기장,927313.7,1950542.1
아신,994945.8,1946078.9
아차산,963720.5,1950428.9
아현,951955.8,1951028.5
안국,954600.8,1953163.7
안산,937101.4,1925481.3
안암,958433.5,1954202.4
안양,948926,1933752.7
암사,967096.1,1950146.9
압구정,958338.4,1947572.4
압구정로데오,959399.1,1947643
애오개,952022.8,1950648.1
야당,934902,1968358
야탑,967143.6,1934715
약수,956815.2,1950658.9
양수,984894,1949650.9
양원,965392.1,1956426
양재,958863,1942839.2
양재시민의숲,959187.5,1941324.2
양정,973052.1,1956094.5
양주,959902.2,1975003.6
양천구청,943900.2,1946091.5
양천향교,941842.7,1952313.7
양평,945786.1,1947540.5
어룡,963455.3,1971540.3
어린이대공원,962426.2,1949951.1
어정,968418.7,1919618
언주,958819.6,1945444.1
여의나루,949884.8,1947676.9
여의도,949108.8,1947099.6
여주,1011439.7,1920431.6
역곡,939157.7,1943111.2
역삼,959029.5,1944701.9
역촌,949056.7,1956442.3
연수,927326.5,1935742.2
연신내,948888,1957939.5
염창,944758.6,1949922.2
영등포,947640.3,1946420.4
영등포구청,946684.7,1947542.1
영등포시장,947438.3,1947211
영종,913812,1946302.3
영통,961981.9,1917030.5
예술회관,929307.5,1939124.2
오금,967079.6,1944843.1
오류동,941975.8,1944062.9
오리,965361.2,1926862.5
오목교,944798,1947432.3
오빈,997647.6,1945219.4
오산,961513.1,1905183.6
오산대,961208.8,1907935
오이도,932593,1929549.9
옥수,957504.4,1949182.7
온수,940136.5,1943848.5
온양온천,955672.6,1864827.4
올림픽공원,967426.9,1946479.6
완정,926992.2,1955162.6
왕길,924295.9,1955424.6
왕십리,959216.6,1951460.1
외대앞,961414.4,1955182.1
용답,960321.4,1951499.6
용두,959243.8,1952828.8
