code,p17the,p17hong,p17kuk,p17yoo,p17jung,p17valid,r17the,r17hong,r17kuk,r17yoo,r17jung,win17r,winner17,wingap17,sec17r,sec17,third17r,third17,forth17r,forth17,last17r,last17,r17han,p16the,p16han,p16kuk,p16jung,p16valid,r16the,r16han,r16kuk,r16jung,d_the,d_han,d_kuk,d_jung
21130,44887,40914,20544,8495,5650,120881,0.371332137,0.338465102,0.169952267,0.070275726,0.046740182,0.371332137,1,0.032867035,0.338465102,2,0.169952267,3,0.070275726,4,0.046740182,5,0.408740828,24961,37878,19081,5474,95099,0.284690728,0.432014559,0.217626849,0.062433278,0.086641408,-0.023273731,-0.047674582,-0.015693095
21140,36948,36752,17937,7157,4904,104102,0.354921135,0.353038366,0.172302165,0.06874988,0.047107644,0.354921135,1,0.001882769,0.353038366,2,0.172302165,3,0.06874988,4,0.047107644,5,0.421788246,16176,31800,18974,4529,77387,0.225425986,0.443159393,0.264418438,0.063115374,0.129495149,-0.021371147,-0.092116273,-0.01600773
21150,54175,43609,20646,8719,6113,133802,0.404889314,0.325921885,0.154302626,0.06516345,0.045686911,0.404889314,1,0.078967429,0.325921885,2,0.154302626,3,0.06516345,4,0.045686911,5,0.391085335,30737,42873,17652,4872,109004,0.318440418,0.444171391,0.182877648,0.050474728,0.086448896,-0.053086056,-0.028575022,-0.004787818
21310,33752,23807,13979,5726,4148,81768,0.412777615,0.291153018,0.170959299,0.070027395,0.050728891,0.412777615,1,0.121624596,0.291153018,2,0.170959299,3,0.070027395,4,0.050728891,5,0.361180413,15127,22261,11458,4416,59422,0.282774593,0.416133087,0.214188622,0.082549917,0.130003022,-0.054952674,-0.043229322,-0.031821026
22010,9505,22711,6199,5066,1927,45669,0.208128052,0.497295759,0.13573759,0.110928639,0.042194924,0.497295759,2,0.289167707,0.208128052,1,0.13573759,3,0.110928639,4,0.042194924,5,0.608224397,5124,18345,5469,1773,34088,0.165892226,0.593929135,0.177061785,0.057401818,0.042235826,0.014295263,-0.041324195,-0.015206894
22020,40005,93013,27378,31733,7971,201206,0.198826079,0.462277467,0.136069501,0.157713985,0.039616115,0.462277467,2,0.263451388,0.198826079,1,0.157713985,4,0.136069501,3,0.039616115,5,0.619991452,21505,75785,24928,8463,148648,0.163656462,0.576735875,0.189706035,0.064404773,0.035169616,0.043255576,-0.053636535,-0.024788658
22030,18639,64665,15665,10680,4543,114872,0.162258862,0.562930914,0.136369176,0.092973048,0.039548367,0.562930914,2,0.400672052,0.162258862,1,0.136369176,3,0.092973048,4,0.039548367,5,0.655903963,9293,48593,10872,3294,81982,0.128212803,0.670423407,0.149997804,0.045446354,0.034046059,-0.014519444,-0.013628628,-0.005897988
22040,16367,46437,12063,8793,3660,87821,0.186367725,0.528768746,0.137358946,0.100124116,0.041675681,0.528768746,2,0.34240102,0.186367725,1,0.137358946,3,0.100124116,4,0.041675681,5,0.628892862,8774,36098,9473,2844,63427,0.152545878,0.627604411,0.164698781,0.049446145,0.033821847,0.001288451,-0.027339835,-0.007770464
22050,54095,113497,37527,29913,11850,248147,0.217995785,0.457378086,0.151228909,0.120545483,0.047753952,0.457378086,2,0.239382302,0.217995785,1,0.151228909,3,0.120545483,4,0.047753952,5,0.577923569,26132,92861,31529,12558,181154,0.159423502,0.566517136,0.192348982,0.076612595,0.058572283,0.011406433,-0.041120073,-0.028858643
22060,55205,113112,37953,33354,10433,251219,0.219748506,0.450252568,0.151075357,0.13276862,0.041529502,0.450252568,2,0.230504062,0.219748506,1,0.151075357,3,0.13276862,4,0.041529502,5,0.583021189,36010,106661,36480,12905,209563,0.186630137,0.552795254,0.189066021,0.066883141,0.033118369,0.030225935,-0.037990664,-0.025353639
22070,71303,154269,51178,40111,16021,334798,0.212973196,0.460782322,0.152862323,0.11980657,0.047852735,0.460782322,2,0.247809127,0.212973196,1,0.152862323,3,0.11980657,4,0.047852735,5,0.580588892,38275,116360,41592,12592,229660,0.182243751,0.554040048,0.198037415,0.059955932,0.030729445,0.026548845,-0.045175093,-0.012103197
22310,26851,54652,18664,13651,6168,120657,0.222539927,0.452953413,0.154686425,0.113138898,0.051120117,0.452953413,2,0.230413486,0.222539927,1,0.154686425,3,0.113138898,4,0.051120117,5,0.566092311,11170,41267,12247,4201,78497,0.16125254,0.595739351,0.176800345,0.060646546,0.061287388,-0.029647039,-0.02211392,-0.009526429
23010,23866,14468,13493,3533,4076,59752,0.399417593,0.242134155,0.225816709,0.059127728,0.06821529,0.399417593,1,0.157283438,0.242134155,2,0.225816709,3,0.06821529,5,0.059127728,4,0.301261882,8870,16200,11368,4319,45056,0.216480378,0.395375663,0.277446329,0.105409104,0.182937214,-0.09411378,-0.05162962,-0.037193814
23020,14556,10761,9560,2192,2902,40214,0.361963495,0.267593375,0.237728154,0.05450838,0.072163923,0.361963495,1,0.09437012,0.267593375,2,0.237728154,3,0.072163923,5,0.05450838,4,0.322101756,5796,12739,7143,4099,33537,0.193470688,0.425228277,0.238433596,0.136824767,0.168492807,-0.103126521,-0.000705442,-0.064660844
23030,83761,56388,54966,13656,15832,225694,0.371126392,0.249842707,0.243542141,0.060506704,0.070148077,0.371126392,1,0.121283685,0.249842707,2,0.243542141,3,0.070148077,5,0.060506704,4,0.310349411,34697,60794,41204,11396,166559,0.233162552,0.408533423,0.27688935,0.076580697,0.137963841,-0.098184012,-0.033347209,-0.00643262
23040,75343,38483,43087,13999,12683,184436,0.408504847,0.208652324,0.233614912,0.075901668,0.068766401,0.408504847,1,0.174889935,0.233614912,3,0.208652324,2,0.075901668,4,0.068766401,5,0.284553992,34305,45329,37902,10770,138462,0.266149474,0.351677292,0.294056183,0.083557203,0.142355373,-0.067123301,-0.060441271,-0.014790801
23050,119542,61003,69710,18808,20343,290822,0.411048683,0.20976061,0.239699885,0.064671861,0.069950004,0.411048683,1,0.171348798,0.239699885,3,0.20976061,2,0.069950004,5,0.064671861,4,0.274432471,59543,69446,55171,15054,217789,0.297434355,0.346902679,0.275594962,0.075199046,0.113614327,-0.072470209,-0.035895077,-0.005249042
