name,sum
대구광역시의회|의원|배지숙,3613181
서울특별시의회|의원|우미경,3599659
부산광역시의회|의원|최영규,3598486
부산광역시의회|의원|정명희,3584158
경기도의회|의원|명상욱,3567523
국회|국회의원|정성호,3563842
기획재정부|제2차관|송언석,3539921
국회|국회의원|박영선,3537990
대전광역시의회|의원|최선희,3526423
국회|국회의원|권성동,3522597
제주특별자치도의회|의장|신관홍,3522379
대검찰청대전고등검찰청|검사장|김강욱,3510144
산업통상자원부한국세라믹기술원|원장|강석중,3508249
법무부사법연수원|부원장|조은석,3501538
국회|국회의원|유기준,3501510
강원도의회|의원|김성근,3498089
서울고등법원|부장판사|한승,3497354
고용노동부한국산업인력공단|이사장|박영범,3491069
산업통상자원부한국광해관리공단|이사장|김익환,3489885
특허법원|법원장|이대경,3489290
부산광역시의회|의원|강무길,3486093
부산광역시의회|의원|김종한,3471157
경기도안성시|시장|황은성,3466933
서울고등법원|부장판사|윤성근,3466135
국회|국회의원|강길부,3436703
경기도의회|의원|이재석,3420287
경상북도의회|의원|조현일,3407710
국회|국회의원|곽상도,3390734
서울고등법원|부장판사|배광국,3390120
미래창조과학부대구경북과학기술원|총장|신성철,3380546
전라북도의회|의원|김종철,3369177
국민권익위원회|부위원장|박경호,3363813
국민안전처|차관|이성호,3352684
국토교통부|제1차관|김경환,3335419
서울특별시의회|의원|유용,3323084
서울고등법원|부장판사|고의영,3314719
교육부재단법인동북아역사재단|이사장|김호섭,3277940
국회|국회의원|오신환,3267972
제주특별자치도의회|의원|손유원,3264123
부산고등법원|부장판사|구남수,3261890
미래창조과학부한국연구재단|이사장|조무제,3260910
서울특별시의회|의원|강성언,3256504
경상남도창원시|시장|안상수,3249656
보건복지부|차관|방문규,3227602
전라남도|정무부지사|우기종,3222807
대구광역시남구|구청장|임병헌,3217577
한국은행금융통화위원회|위원|조동철,3210105
서울고등법원|부장판사|민중기,3206247
고용노동부한국사회적기업진흥원|원장|오광성,3191783
충청남도공주시|시장|오시덕,3188152
한국은행|부총재|장병화,3186821
한국은행금융통화위원회|위원|고승범,3165870
보건복지부|장관|정진엽,3161415
서울고등법원|부장판사|김대웅,3160638
특허법원|부장판사|오영준,3151677
